Boyd ADMM Lasso rho/alpha tuning
Run directory: example/boyd_admm_lasso_20260513
MATLAB version: 25.1.0.2943329 (R2025a)
Timestamp: 2026-05-13 12:49:49
Baseline objective: 17.2693553575
Objective tolerance: 0.1

=== Trial 01: rho=0.1 alpha=1 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
 51	    0.1409	    0.0818	    0.0020	    0.0580	     17.07
 52	    0.1362	    0.0818	    0.0019	    0.0581	     17.07
 53	    0.1319	    0.0818	    0.0016	    0.0582	     17.08
 54	    0.1279	    0.0818	    0.0012	    0.0583	     17.08
 55	    0.1239	    0.0818	    0.0011	    0.0584	     17.09
 56	    0.1200	    0.0818	    0.0012	    0.0585	     17.11
 57	    0.1160	    0.0819	    0.0019	    0.0585	     17.13
 58	    0.1119	    0.0819	    0.0024	    0.0586	     17.14
 59	    0.1087	    0.0819	    0.0016	    0.0587	     17.16
 60	    0.1054	    0.0819	    0.0009	    0.0588	     17.17
 61	    0.1020	    0.0819	    0.0011	    0.0588	     17.17
 62	    0.0989	    0.0819	    0.0010	    0.0589	     17.18
 63	    0.0961	    0.0819	    0.0007	    0.0590	     17.18
 64	    0.0933	    0.0819	    0.0006	    0.0591	     17.19
 65	    0.0906	    0.0819	    0.0007	    0.0591	     17.20
 66	    0.0880	    0.0820	    0.0006	    0.0592	     17.21
 67	    0.0854	    0.0820	    0.0005	    0.0593	     17.22
 68	    0.0830	    0.0820	    0.0004	    0.0593	     17.23
 69	    0.0804	    0.0820	    0.0008	    0.0594	     17.23
历时 0.673682 秒。

summary: iterations=69 final_objective=17.2340916431 r_norm=0.0804136991355 eps_pri=0.0819966156574 s_norm=0.000807421230229 eps_dual=0.0593791989588 valid=1 elapsed_seconds=0.673885 status=success

=== Trial 04: rho=0.1 alpha=1.8 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    5.1637	    0.0587	    0.0000	    0.0164	      0.05
  2	    4.7996	    0.0552	    0.0049	    0.0250	      0.42
  3	    4.2768	    0.0520	    0.2224	    0.0324	      2.45
  4	    3.7245	    0.0715	    0.4265	    0.0373	      6.60
  5	    3.5233	    0.0980	    0.3250	    0.0401	     10.29
  6	    3.1632	    0.0991	    0.2865	    0.0421	     11.88
  7	    2.7324	    0.0851	    0.3958	    0.0438	     12.17
  8	    2.6130	    0.0770	    0.2876	    0.0454	     12.53
  9	    2.3703	    0.0764	    0.2487	    0.0468	     13.70
 10	    2.0457	    0.0862	    0.3092	    0.0476	     15.03
 11	    1.9533	    0.0918	    0.2305	    0.0481	     15.57
 12	    1.7727	    0.0892	    0.2022	    0.0487	     15.25
 13	    1.5688	    0.0812	    0.2214	    0.0494	     14.78
 14	    1.4722	    0.0771	    0.1787	    0.0502	     14.90
 15	    1.3454	    0.0803	    0.1563	    0.0509	     15.53
 16	    1.2016	    0.0842	    0.1627	    0.0513	     16.04
 17	    1.1147	    0.0847	    0.1390	    0.0517	     16.09
 18	    1.0266	    0.0835	    0.1163	    0.0521	     15.96
 19	    0.9161	    0.0810	    0.1217	    0.0526	     15.99
 20	    0.8511	    0.0804	    0.1045	    0.0530	     16.17
 21	    0.7839	    0.0811	    0.0884	    0.0533	     16.26
 22	    0.7043	    0.0813	    0.0904	    0.0537	     16.24
 23	    0.6570	    0.0813	    0.0763	    0.0541	     16.29
